stock,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname,exchDisp,sector,industry,isYahooFinance,prevName,nameChangeDate
GEPA3.SA,SAO,GER PARANAP ON,EQUITY,GEPA3.SA,quotes,2000400.0,Equity,Rio Paranapanema Energia S.A.,São Paulo,Utilities,Utilities—Regulated Electric,True,,
TBLE3.SA,,,,,,,,,,,,,,
SMLE3.SA,,,,,,,,,,,,,,
REDE3.SA,SAO,REDE ENERGIAON  ED,EQUITY,REDE3.SA,quotes,2000400.0,Equity,Rede Energia Participações S.A.,São Paulo,Utilities,Utilities—Regulated Electric,True,,
PDGR3.SA,SAO,PDG REALT   ON      NM,EQUITY,PDGR3.SA,quotes,2001300.0,Equity,PDG Realty S.A. Empreendimentos e Participações,São Paulo,Real Estate,Real Estate—Development,True,,
MMXM3.SA,,,,,,,,,,,,,,
KROT3.SA,,,,,,,,,,,,,,
EXXO34.SA,SAO,EXXON MOBIL DRN,EQUITY,EXXO34.SA,quotes,2000300.0,Equity,Exxon Mobil Corporation,São Paulo,Energy,Oil & Gas Integrated,True,,
ELET3.SA,SAO,ELETROBRAS  ON      N1,EQUITY,ELET3.SA,quotes,2013300.0,Equity,Centrais Elétricas Brasileiras S.A. - Eletrobrás,São Paulo,Utilities,Utilities—Regulated Electric,True,,
ECOR3.SA,SAO,ECORODOVIAS ON      NM,EQUITY,ECOR3.SA,quotes,2035700.0,Equity,EcoRodovias Infraestrutura e Logística S.A.,São Paulo,Industrials,Infrastructure Operations,True,,
XBOV11.SA,SAO,CAIXAETFXBOVCI,EQUITY,XBOV11.SA,quotes,2000100.0,Equity,CAIXA ETF Ibovespa Fundo de Índice - Cotas Fund,São Paulo,,,True,,
WEGE3.SA,SAO,WEG         ON  EJ  NM,EQUITY,WEGE3.SA,quotes,2023600.0,Equity,WEG S.A.,São Paulo,Industrials,Specialty Industrial Machinery,True,,
TIFF34.SA,,,,,,,,,,,,,,
FIBR3.SA,,,,,,,,,,,,,,
FDXB34.SA,SAO,FEDEX CORP  DRN,EQUITY,FDXB34.SA,quotes,2000200.0,Equity,FedEx Corporation,São Paulo,Industrials,Integrated Freight & Logistics,True,,
FBOK34.SA,,,,,,,,,,,,,,
WPLZ11B.SA,,,,,,,,,,,,,,
HGTX3.SA,,,,,,,,,,,,,,
LFFE3.SA,,,,,,,,,,,,,,
BBVJ11.SA,,,,,,,,,,,,,,
CEGR3.SA,,,,,,,,,,,,,,
JNJB34.SA,SAO,JOHNSON     DRN,EQUITY,JNJB34.SA,quotes,2000500.0,Equity,Johnson & Johnson,São Paulo,Healthcare,Drug Manufacturers—General,True,,
LFFE4.SA,,,,,,,,,,,,,,
JSRE11.SA,SAO,FII JS REAL CI,EQUITY,JSRE11.SA,quotes,2000600.0,Equity,JS Real Estate multigestão - FII fund,São Paulo,Real Estate,REIT—Diversified,True,,
JPPC11.SA,SAO,FII JPP CAPICI,EQUITY,JPPC11.SA,quotes,2000100.0,Equity,JPP Capital Fundo Invest Imobiliario FII,São Paulo,Real Estate,REIT—Diversified,True,,
HGJH11.SA,,,,,,,,,,,,,,
JSLG3F.SA,SAO,JSL         ON      NM,EQUITY,JSLG3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
MCRJ11B.SA,,,,,,,,,,,,,,
JSLG-DEB63L1.SA,,,,,,,,,,,,,,
SJOS4F.SA,,,,,,,,,,,,,,
JSLG-DEB61B0.SA,,,,,,,,,,,,,,
JBDU3.SA,,,,,,,,,,,,,,
JPMC34.SA,SAO,JPMORGAN    DRN,EQUITY,JPMC34.SA,quotes,2003900.0,Equity,JPMorgan Chase & Co.,São Paulo,Financial Services,Banks—Diversified,True,,
JOPA4F.SA,SAO,JOSAPAR     PN,EQUITY,JOPA4F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
MEND3.SA,,,,,,,,,,,,,,
MEND5.SA,,,,,,,,,,,,,,
TEKA3.SA,,,,,,,,,,,,,,
MYPK3.SA,SAO,"IOCHP,MAXIONON      NM",EQUITY,MYPK3.SA,quotes,2007900.0,Equity,Iochpe-Maxion S.A.,São Paulo,Consumer Cyclical,Auto Parts,True,,
BERK34F.SA,,,,,,,,,,,,,,
BERK34.SA,SAO,BERKSHIRE   DRN,EQUITY,BERK34.SA,quotes,2001400.0,Equity,Berkshire Hathaway Inc.,São Paulo,Financial Services,Insurance—Diversified,True,,
KLBN4.SA,SAO,KLABIN S/A  PN      N2,EQUITY,KLBN4.SA,quotes,2003800.0,Equity,Klabin S.A.,São Paulo,Basic Materials,Paper & Paper Products,True,,
ELEK3.SA,,,,,,,,,,,,,,
MYPK-DCA61L0.SA,,,,,,,,,,,,,,
MCDC34.SA,SAO,MCDONALDS   DRN,EQUITY,MCDC34.SA,quotes,2007000.0,Equity,McDonald's Corporation,São Paulo,Consumer Cyclical,Restaurants,True,,
