stock,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname,exchDisp,sector,industry,isYahooFinance,prevName,nameChangeDate
BONY34F.SA,,,,,,,,,,,,,,
WMBY3.SA,,,,,,,,,,,,,,
FLRY3.SA,SAO,FLEURY      ON      NM,EQUITY,FLRY3.SA,quotes,2010400.0,Equity,Fleury S.A.,São Paulo,Healthcare,Diagnostics & Research,True,,
LILY34.SA,SAO,LILLY       DRN,EQUITY,LILY34.SA,quotes,2010500.0,Equity,Eli Lilly and Company,São Paulo,Healthcare,Drug Manufacturers—General,True,,
COTY34.SA,SAO,COTY INC    DRN,EQUITY,COTY34.SA,quotes,2000100.0,Equity,Coty Inc.,São Paulo,Consumer Defensive,Household & Personal Products,True,,
BONY34.SA,SAO,BNY MELLON  DRN,EQUITY,BONY34.SA,quotes,2000100.0,Equity,The Bank of New York Mellon Corporation,São Paulo,Financial Services,Asset Management,True,,
LILY34F.SA,,,,,,,,,,,,,,
CRUZ3.SA,,,,,,,,,,,,,,
MDLZ34F.SA,,,,,,,,,,,,,,
MDLZ34.SA,SAO,MONDELEZ INTDRN,EQUITY,MDLZ34.SA,quotes,2000100.0,Equity,"Mondelez International, Inc.",São Paulo,Consumer Defensive,Confectioners,True,,
ARZZ3.SA,SAO,AREZZO CO   ON      NM,EQUITY,ARZZ3.SA,quotes,2009700.0,Equity,Arezzo Indústria e Comércio S.A.,São Paulo,Consumer Cyclical,Footwear & Accessories,True,,
PFIZ34F.SA,,,,,,,,,,,,,,
PFIZ34.SA,SAO,PFIZER      DRN,EQUITY,PFIZ34.SA,quotes,2000200.0,Equity,Pfizer Inc.,São Paulo,Healthcare,Drug Manufacturers—General,True,,
ITSA4.SA,SAO,ITAUSA      PN  EJ  N1,EQUITY,ITSA4.SA,quotes,2054700.0,Equity,Itaúsa S.A.,São Paulo,Industrials,Conglomerates,True,Itaúsa - Investimentos Itaú S.A.,2023-03-29
TGMA3.SA,SAO,TEGMA       ON      NM,EQUITY,TGMA3.SA,quotes,2003600.0,Equity,Tegma Gestão Logística S.A.,São Paulo,Industrials,Trucking,True,,
PSSA3.SA,SAO,PORTO SEGUROON      NM,EQUITY,PSSA3.SA,quotes,2007900.0,Equity,Porto Seguro S.A.,São Paulo,Financial Services,Insurance—Diversified,True,,
ITSA3.SA,SAO,ITAUSA      ON  EJ  N1,EQUITY,ITSA3.SA,quotes,2001800.0,Equity,Itaúsa S.A.,São Paulo,Industrials,Conglomerates,True,Itaúsa - Investimentos Itaú S.A.,2023-03-29
GFSA3.SA,SAO,GAFISA      ON  ES  NM,EQUITY,GFSA3.SA,quotes,2002800.0,Equity,Gafisa S.A.,São Paulo,Consumer Cyclical,Residential Construction,True,,
DASA3.SA,SAO,DASA        ON      NM,EQUITY,DASA3.SA,quotes,2011500.0,Equity,Diagnósticos da América S.A.,São Paulo,Healthcare,Diagnostics & Research,True,,
BAZA3.SA,SAO,AMAZONIA    ON,EQUITY,BAZA3.SA,quotes,2004000.0,Equity,Banco da Amazônia S.A.,São Paulo,Financial Services,Banks—Regional,True,,
ALPA4.SA,SAO,ALPARGATAS  PN      N1,EQUITY,ALPA4.SA,quotes,2006300.0,Equity,Alpargatas S.A.,São Paulo,Consumer Cyclical,Footwear & Accessories,True,,
AAPL34F.SA,,,,,,,,,,,,,,
AAPL34.SA,SAO,APPLE       DRN,EQUITY,AAPL34.SA,quotes,2001700.0,Equity,Apple Inc.,São Paulo,Technology,Consumer Electronics,True,,
MSPA4.SA,,,,,,,,,,,,,,
MTSA3F.SA,,,,,,,,,,,,,,
GEPA3F.SA,SAO,GER PARANAP ON,EQUITY,GEPA3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
OGSA3.SA,,,,,,,,,,,,,,
MSPA4F.SA,SAO,MELHOR SP   PN,EQUITY,MSPA4F.SA,quotes,2000000.0,Equity,,São Paulo,,,True,,
CTSA4.SA,SAO,SANTANENSE  PN,EQUITY,CTSA4.SA,quotes,2000400.0,Equity,Companhia Tecidos Santanense Ltda.,São Paulo,Consumer Cyclical,Textile Manufacturing,True,,
FJTA4.SA,,,,,,,,,,,,,,
CBMA4F.SA,,,,,,,,,,,,,,
CGRA3.SA,SAO,GRAZZIOTIN  ON,EQUITY,CGRA3.SA,quotes,2000700.0,Equity,Grazziotin S.A.,São Paulo,Consumer Cyclical,Department Stores,True,,
PTPA3F.SA,,,,,,,,,,,,,,
MDIA3.SA,SAO,M.DIASBRANCOON      NM,EQUITY,MDIA3.SA,quotes,2006300.0,Equity,M. Dias Branco S.A. Indústria e Comércio de Alimentos,São Paulo,Consumer Defensive,Packaged Foods,True,,
IGTA3.SA,,,,,,,,,,,,,,
CTSA3.SA,SAO,SANTANENSE  ON,EQUITY,CTSA3.SA,quotes,2000600.0,Equity,Companhia Tecidos Santanense Ltda.,São Paulo,Consumer Cyclical,Textile Manufacturing,True,,
GAFL-CRAA2L1.SA,,,,,,,,,,,,,,
MRSA5B.SA,SAO,MRS LOGISTICA,EQUITY,MRSA5B.SA,quotes,2000400.0,Equity,MRS Logística S.A.,São Paulo,Industrials,Railroads,True,,
MSPA3.SA,,,,,,,,,,,,,,
HAGA4.SA,SAO,HAGA S/A    PN,EQUITY,HAGA4.SA,quotes,2000400.0,Equity,HAGA S/A Indústria e Comércio,São Paulo,Industrials,Building Products & Equipment,True,,
MRSA3BF.SA,SAO,MRS LOGISTICA,EQUITY,MRSA3BF.SA,quotes,2000200.0,Equity,,São Paulo,,,True,,
HAGA3.SA,SAO,HAGA S/A    ON,EQUITY,HAGA3.SA,quotes,2000400.0,Equity,HAGA S/A Indústria e Comércio,São Paulo,Industrials,Building Products & Equipment,True,,
MRSA5BF.SA,SAO,MRS LOGISTICA,EQUITY,MRSA5BF.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
FESA4.SA,SAO,FERBASA     PN      N1,EQUITY,FESA4.SA,quotes,2002100.0,Equity,Cia de Ferro Ligas da Bahia S.A. - FERBASA,São Paulo,Basic Materials,Steel,True,,
HETA3.SA,,,,,,,,,,,,,,
PTPA4.SA,,,,,,,,,,,,,,
EUCA3F.SA,SAO,EUCATEX     ON      N1,EQUITY,EUCA3F.SA,quotes,2000200.0,Equity,,São Paulo,,,True,,
PTPA4F.SA,,,,,,,,,,,,,,
CBMA3.SA,,,,,,,,,,,,,,
HETA3F.SA,,,,,,,,,,,,,,
FESA3.SA,SAO,FERBASA     ON      N1,EQUITY,FESA3.SA,quotes,2000400.0,Equity,Cia de Ferro Ligas da Bahia S.A. - FERBASA,São Paulo,Basic Materials,Steel,True,,
CBMA3F.SA,,,,,,,,,,,,,,
TEKA4.SA,SAO,TEKA        PN,EQUITY,TEKA4.SA,quotes,2000900.0,Equity,Teka Tecelagem Kuehnrich S.A.,São Paulo,Consumer Cyclical,Textile Manufacturing,True,,
JOPA3.SA,SAO,JOSAPAR     ON,EQUITY,JOPA3.SA,quotes,2000700.0,Equity,JOSAPAR Joaquim Oliveira S.A. Participações,São Paulo,Consumer Defensive,Packaged Foods,True,,
CBMA4.SA,,,,,,,,,,,,,,
MRSA6B.SA,,,,,,,,,,,,,,
CAIA3B.SA,,,,,,,,,,,,,,
HETA4.SA,SAO,HERCULES    PN,EQUITY,HETA4.SA,quotes,2000400.0,Equity,Hércules S.A - Fábrica de Talheres,São Paulo,Consumer Defensive,Household & Personal Products,True,,
TEKA3F.SA,,,,,,,,,,,,,,
MRSA6BF.SA,SAO,MRS LOGISTICA,EQUITY,MRSA6BF.SA,quotes,2000400.0,Equity,,São Paulo,,,True,,
GEPA4.SA,SAO,GER PARANAP PN,EQUITY,GEPA4.SA,quotes,2001000.0,Equity,Rio Paranapanema Energia S.A.,São Paulo,Utilities,Utilities—Regulated Electric,True,,
SFSA4.SA,,,,,,,,,,,,,,
ENMA6B.SA,,,,,,,,,,,,,,
CTKA3F.SA,,,,,,,,,,,,,,
CTKA3.SA,,,,,,,,,,,,,,
CTKA4.SA,SAO,KARSTEN     PN,EQUITY,CTKA4.SA,quotes,2000400.0,Equity,Karsten S.A.,São Paulo,Consumer Cyclical,Textile Manufacturing,True,,
EUCA3.SA,SAO,EUCATEX     ON      N1,EQUITY,EUCA3.SA,quotes,2000100.0,Equity,Eucatex S.A. Indústria e Comércio,São Paulo,Industrials,Building Products & Equipment,True,,
TCSA3.SA,SAO,TECNISA     ON      NM,EQUITY,TCSA3.SA,quotes,2002000.0,Equity,Tecnisa S.A.,São Paulo,Real Estate,Real Estate—Development,True,,
CGRA4.SA,SAO,GRAZZIOTIN  PN,EQUITY,CGRA4.SA,quotes,2001000.0,Equity,Grazziotin S.A.,São Paulo,Consumer Cyclical,Department Stores,True,,
SUIA4L.SA,,,,,,,,,,,,,,
LUPA3.SA,SAO,LUPATECH    ON      NM,EQUITY,LUPA3.SA,quotes,2001100.0,Equity,Lupatech S.A.,São Paulo,Energy,Oil & Gas Equipment & Services,True,,
MTSA3.SA,SAO,METISA      ON,EQUITY,MTSA3.SA,quotes,2000400.0,Equity,METISA Metalúrgica Timboense S.A.,São Paulo,Industrials,Farm & Heavy Construction Machinery,True,,
MRSA3B.SA,,,,,,,,,,,,,,
JOPA3F.SA,SAO,JOSAPAR     ON,EQUITY,JOPA3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
ENMA3B.SA,,,,,,,,,,,,,,
IGSA5L.SA,,,,,,,,,,,,,,
GAFL-CRAA2B0.SA,,,,,,,,,,,,,,
ENMA3BF.SA,,,,,,,,,,,,,,
PTPA3.SA,,,,,,,,,,,,,,
EUCA4.SA,SAO,EUCATEX     PN      N1,EQUITY,EUCA4.SA,quotes,2000600.0,Equity,Eucatex S.A. Indústria e Comércio,São Paulo,Industrials,Building Products & Equipment,True,,
FJTA3.SA,,,,,,,,,,,,,,
FRTA3.SA,SAO,POMIFRUTAS  ON      NM,EQUITY,FRTA3.SA,quotes,2000600.0,Equity,Pomifrutas S/A,São Paulo,Consumer Defensive,Farm Products,True,,
CSNA3.SA,SAO,SID NACIONALON,EQUITY,CSNA3.SA,quotes,2010200.0,Equity,Companhia Siderúrgica Nacional,São Paulo,Basic Materials,Steel,True,,
ALPA3.SA,SAO,ALPARGATAS  ON      N1,EQUITY,ALPA3.SA,quotes,2001100.0,Equity,Alpargatas S.A.,São Paulo,Consumer Cyclical,Footwear & Accessories,True,,
MTSA4.SA,SAO,METISA      PN,EQUITY,MTSA4.SA,quotes,2000600.0,Equity,METISA Metalúrgica Timboense S.A.,São Paulo,Industrials,Farm & Heavy Construction Machinery,True,,
BPHA3.SA,,,,,,,,,,,,,,
BEMA3.SA,,,,,,,,,,,,,,
COCA34F.SA,,,,,,,,,,,,,,
TEXA34.SA,SAO,TEXAS INC   DRN,EQUITY,TEXA34.SA,quotes,2000400.0,Equity,Texas Instruments Incorporated,São Paulo,Technology,Semiconductors,True,,
ABTT34F.SA,,,,,,,,,,,,,,
BPFF11.SA,SAO,FII ABSOLUTOCI,EQUITY,BPFF11.SA,quotes,2000400.0,Equity,Fundo de Investimento Imobiliário - FII Brasil Plural Absoluto Fundo de Fundos,São Paulo,Real Estate,REIT—Diversified,True,,
PMSP13B.SA,,,,,,,,,,,,,,
ABCB10.SA,,,,,,,,,,,,,,
ABTT34.SA,SAO,ABBOTT      DRN,EQUITY,ABTT34.SA,quotes,2000100.0,Equity,Abbott Laboratories,São Paulo,Healthcare,Medical Devices,True,,
COCA34.SA,SAO,COCA COLA   DRN,EQUITY,COCA34.SA,quotes,2000300.0,Equity,The Coca-Cola Company,São Paulo,Consumer Defensive,Beverages—Non-Alcoholic,True,,
ABCB10F.SA,,,,,,,,,,,,,,
ABCP11.SA,SAO,FII ABC IMOBCI,EQUITY,ABCP11.SA,quotes,2000100.0,Equity,FII ABC Plaza Shopping Fund,São Paulo,Real Estate,REIT—Retail,True,,
ABCB10L.SA,,,,,,,,,,,,,,
TEXA34F.SA,,,,,,,,,,,,,,
ABCB4.SA,SAO,ABC BRASIL  PN      N2,EQUITY,ABCB4.SA,quotes,2001900.0,Equity,Banco ABC Brasil S.A.,São Paulo,Financial Services,Banks—Regional,True,,
ABCB2.SA,,,,,,,,,,,,,,
ACNB34.SA,SAO,ACCENTURE   DRN,EQUITY,ACNB34.SA,quotes,2000300.0,Equity,Accenture plc,São Paulo,Technology,Information Technology Services,True,,
ACNB34F.SA,,,,,,,,,,,,,,
RBRA-CRI98L1.SA,,,,,,,,,,,,,,
GAIA-CRI5JB0.SA,,,,,,,,,,,,,,
ECOA-CRA74L1.SA,,,,,,,,,,,,,,
ECOA-CRA73L0.SA,,,,,,,,,,,,,,
EALT3.SA,SAO,ACO ALTONA  ON,EQUITY,EALT3.SA,quotes,2000400.0,Equity,Electro Aço Altona S.A.,São Paulo,Industrials,Metal Fabrication,True,,
RBRA-CRI77L0.SA,,,,,,,,,,,,,,
GAIA-CRI40L1.SA,,,,,,,,,,,,,,
BOVA11.SA,SAO,ISHARES BOVACI,EQUITY,BOVA11.SA,quotes,2012600.0,Equity,iShares Ibovespa Index Fund,São Paulo,,,True,,
ECOA-CRA68L1.SA,,,,,,,,,,,,,,
RBRA-CRI1XL0.SA,,,,,,,,,,,,,,
EALT4F.SA,SAO,ACO ALTONA  PN,EQUITY,EALT4F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
AETA-CRI10L1.SA,,,,,,,,,,,,,,
RBRA-CRI81L0.SA,,,,,,,,,,,,,,
BCIA11.SA,SAO,FII BCIA    CI,EQUITY,BCIA11.SA,quotes,2000400.0,Equity,Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario,São Paulo,Real Estate,REIT—Diversified,True,,
EALT3F.SA,SAO,ACO ALTONA  ON,EQUITY,EALT3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
CTBA11B.SA,,,,,,,,,,,,,,
GAIA-CRI48B0.SA,,,,,,,,,,,,,,
RBRA-CRI07B0.SA,,,,,,,,,,,,,,
ECOA-CRA74B0.SA,,,,,,,,,,,,,,
GAIA-CRI48L0.SA,,,,,,,,,,,,,,
RBRA-CRI94L0.SA,,,,,,,,,,,,,,
RBRA-CRI96L0.SA,,,,,,,,,,,,,,
RBRA-CRI77B0.SA,,,,,,,,,,,,,,
RBRA-CRI97L1.SA,,,,,,,,,,,,,,
RBRA-CRI99L0.SA,,,,,,,,,,,,,,
GAIA-CRI5IB0.SA,,,,,,,,,,,,,,
RBRA-CRI98B0.SA,,,,,,,,,,,,,,
RBRA-CRI68L1.SA,,,,,,,,,,,,,,
RBRA-CRI44L1.SA,,,,,,,,,,,,,,
GAIA-CRI5BB0.SA,,,,,,,,,,,,,,
EALT4.SA,SAO,ACO ALTONA  PN,EQUITY,EALT4.SA,quotes,2000400.0,Equity,Electro Aço Altona S.A.,São Paulo,Industrials,Metal Fabrication,True,,
SULA11.SA,,,,,,,,,,,,,,
GAIA-CRI5BL0.SA,,,,,,,,,,,,,,
RBRA-CRI80L1.SA,,,,,,,,,,,,,,
AETA-CRI10L0.SA,,,,,,,,,,,,,,
RBRA-CRI44L0.SA,,,,,,,,,,,,,,
RBRA-CRI70B0.SA,,,,,,,,,,,,,,
GAIA-CRI5IL0.SA,,,,,,,,,,,,,,
RBRA-CRI93L1.SA,,,,,,,,,,,,,,
ECOA-CRA72L1.SA,,,,,,,,,,,,,,
ECOA-CRA72L0.SA,,,,,,,,,,,,,,
RBRA-CRI1XB0.SA,,,,,,,,,,,,,,
GAIA-CRI35B0.SA,,,,,,,,,,,,,,
GAIA-CRI47L1.SA,,,,,,,,,,,,,,
GAIA-CRI47B0.SA,,,,,,,,,,,,,,
RBRA-CRIA2B0.SA,,,,,,,,,,,,,,
GAIA-CRI780B.SA,,,,,,,,,,,,,,
RBRA-CRIA2L1.SA,,,,,,,,,,,,,,
RBRA-CRI90L0.SA,,,,,,,,,,,,,,
ECOA-CRA74L0.SA,,,,,,,,,,,,,,
ECOA-CRA68L0.SA,,,,,,,,,,,,,,
GAIA-CRI5JL0.SA,,,,,,,,,,,,,,
GAIA-CRI470B.SA,,,,,,,,,,,,,,
ECOA-CRA73L1.SA,,,,,,,,,,,,,,
RBRA-CRI90L1.SA,,,,,,,,,,,,,,
THRA11B.SA,,,,,,,,,,,,,,
RBRA-CRI77L1.SA,,,,,,,,,,,,,,
GAIA-CRI48L1.SA,,,,,,,,,,,,,,
RBRA-CRIA2L0.SA,,,,,,,,,,,,,,
FLMA11.SA,SAO,FII S F LIMACI,EQUITY,FLMA11.SA,quotes,2000200.0,Equity,Unitas DTVM S.A.,São Paulo,Real Estate,REIT—Diversified,True,,
RBRA-CRI68L0.SA,,,,,,,,,,,,,,
GAIA-CRI40B0.SA,,,,,,,,,,,,,,
RBRA-CRI07L1.SA,,,,,,,,,,,,,,
RBRA-CRI93L0.SA,,,,,,,,,,,,,,
ECOA-CRA73B0.SA,,,,,,,,,,,,,,
RBRA-CRI97B0.SA,,,,,,,,,,,,,,
ECOA-CRA68B0.SA,,,,,,,,,,,,,,
GAIA-CRI5BL1.SA,,,,,,,,,,,,,,
EDGA11B.SA,,,,,,,,,,,,,,
RBRA-CRI94L1.SA,,,,,,,,,,,,,,
RBRA-CRI94B0.SA,,,,,,,,,,,,,,
RBRA-CRI90B0.SA,,,,,,,,,,,,,,
ATSA11B.SA,,,,,,,,,,,,,,
RESA-DEB13B0.SA,,,,,,,,,,,,,,
IGTA-DEB41L1.SA,,,,,,,,,,,,,,
RESA-DEB11L0.SA,,,,,,,,,,,,,,
TRIA-DEB21L0.SA,,,,,,,,,,,,,,
GFSA-DEB82L1.SA,,,,,,,,,,,,,,
CALI4.SA,,,,,,,,,,,,,,
LBRA-DEB11L0.SA,,,,,,,,,,,,,,
RESA-DEB12B0.SA,,,,,,,,,,,,,,
IGTA-DEB42L0.SA,,,,,,,,,,,,,,
BTTL3.SA,,,,,,,,,,,,,,
MRSA-DEB72L0.SA,,,,,,,,,,,,,,
RESA-DEB12L1.SA,,,,,,,,,,,,,,
LBRA-DEB11B0.SA,,,,,,,,,,,,,,
R2:BTTL3S.SA,,,,,,,,,,,,,,
BRGE3.SA,SAO,ALFA CONSORCON,EQUITY,BRGE3.SA,quotes,2000100.0,Equity,Consórcio Alfa de Administração S.A.,São Paulo,Financial Services,Financial Conglomerates,True,,
BRGE7.SA,,,,,,,,,,,,,,
BRGE8.SA,SAO,ALFA CONSORCPND,EQUITY,BRGE8.SA,quotes,2000100.0,Equity,Consórcio Alfa de Administração S.A.,São Paulo,Financial Services,Financial Conglomerates,True,,
OVSA-DEB31L0.SA,,,,,,,,,,,,,,
BESA-DEB12L1.SA,,,,,,,,,,,,,,
OVSA-DEB31L1.SA,,,,,,,,,,,,,,
BESA-DEB12L0.SA,,,,,,,,,,,,,,
RPTA-DEB22L0.SA,,,,,,,,,,,,,,
BESA-DEB11L0.SA,,,,,,,,,,,,,,
IGTA-DEB41B0.SA,,,,,,,,,,,,,,
BRGE12.SA,SAO,ALFA CONSORCPNF,EQUITY,BRGE12.SA,quotes,2000500.0,Equity,Consórcio Alfa de Administração S.A.,São Paulo,Financial Services,Financial Conglomerates,True,,
BTTL4.SA,,,,,,,,,,,,,,
CALI3.SA,SAO,CONST A LINDON,EQUITY,CALI3.SA,quotes,2000100.0,Equity,Construtora Adolpho Lindenberg S.A.,São Paulo,Industrials,Engineering & Construction,True,,
RESA-DEB11B0.SA,,,,,,,,,,,,,,
TRIA-DEB21L1.SA,,,,,,,,,,,,,,
BRGE5.SA,,,,,,,,,,,,,,
RPTA-DEB21B0.SA,,,,,,,,,,,,,,
BESA-DEB110B.SA,,,,,,,,,,,,,,
GFSA-DEB82L0.SA,,,,,,,,,,,,,,
TRIA-DEB21B0.SA,,,,,,,,,,,,,,
IGTA-DEB42B0.SA,,,,,,,,,,,,,,
GFSA-DEB82B0.SA,,,,,,,,,,,,,,
TRIA-DEB22B0.SA,,,,,,,,,,,,,,
MRSA-DEB710B.SA,,,,,,,,,,,,,,
FRTA1.SA,,,,,,,,,,,,,,
MRSA-DEB72L1.SA,,,,,,,,,,,,,,
RESA-DEB13L0.SA,,,,,,,,,,,,,,
IGTA-DEB21L0.SA,,,,,,,,,,,,,,
RESA-DEB13L1.SA,,,,,,,,,,,,,,
RPTA-DEB22L1.SA,,,,,,,,,,,,,,
RPTA-DEB21L1.SA,,,,,,,,,,,,,,
OGSA-DCA320B.SA,,,,,,,,,,,,,,
TRIA-DEB22L1.SA,,,,,,,,,,,,,,
OVSA-DEB32L1.SA,,,,,,,,,,,,,,
BRGE11.SA,SAO,ALFA CONSORCPNE,EQUITY,BRGE11.SA,quotes,2000500.0,Equity,Consórcio Alfa de Administração S.A.,São Paulo,Financial Services,Financial Conglomerates,True,,
TRIA-DEB22L0.SA,,,,,,,,,,,,,,
BRGE6.SA,SAO,ALFA CONSORCPNB,EQUITY,BRGE6.SA,quotes,2000500.0,Equity,Consórcio Alfa de Administração S.A.,São Paulo,Financial Services,Financial Conglomerates,True,,
TIET-DEB41B0.SA,,,,,,,,,,,,,,
TIET-DEB42L0.SA,,,,,,,,,,,,,,
TIET4.SA,,,,,,,,,,,,,,
AELP3F.SA,,,,,,,,,,,,,,
TIET-DEB43L0.SA,,,,,,,,,,,,,,
AEFI11.SA,,,,,,,,,,,,,,
GETI3.SA,,,,,,,,,,,,,,
TIET-DEB41L1.SA,,,,,,,,,,,,,,
TIET11.SA,,,,,,,,,,,,,,
TIET-DEB43B0.SA,,,,,,,,,,,,,,
PMSP11B.SA,SAO,PREFEIT SAO PAULO,EQUITY,PMSP11B.SA,quotes,2000000.0,Equity,,São Paulo,,,True,,
TIET3.SA,,,,,,,,,,,,,,
AELP3.SA,,,,,,,,,,,,,,
GETI4.SA,,,,,,,,,,,,,,
AFLU3.SA,,,,,,,,,,,,,,
AFLT3.SA,SAO,AFLUENTE T  ON,EQUITY,AFLT3.SA,quotes,2001000.0,Equity,Afluente Transmissão de Energia Elétrica S.A.,São Paulo,Utilities,Utilities—Regulated Electric,True,,
AFLU5.SA,,,,,,,,,,,,,,
AFLU5F.SA,,,,,,,,,,,,,,
AFLT3F.SA,SAO,AFLUENTE T  ON,EQUITY,AFLT3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
AFLU3F.SA,,,,,,,,,,,,,,
ANDG3B.SA,,,,,,,,,,,,,,
AGRO3.SA,SAO,BRASILAGRO  ON      NM,EQUITY,AGRO3.SA,quotes,2006800.0,Equity,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,São Paulo,Consumer Defensive,Farm Products,True,,
VAGR3.SA,,,,,,,,,,,,,,
AGEN33.SA,,,,,,,,,,,,,,
GAFL-CRA01L0.SA,,,,,,,,,,,,,,
GAFL-CRA02L0.SA,,,,,,,,,,,,,,
GAFL-CRA31B0.SA,,,,,,,,,,,,,,
AGRU-DEB21L1.SA,,,,,,,,,,,,,,
UNAG-FIDS10B.SA,,,,,,,,,,,,,,
GAFL-CRA31L1.SA,,,,,,,,,,,,,,
AGEN33F.SA,,,,,,,,,,,,,,
SAAG11.SA,,,,,,,,,,,,,,
CASN3.SA,,,,,,,,,,,,,,
AGTE7L.SA,,,,,,,,,,,,,,
CASN4.SA,,,,,,,,,,,,,,
GAFL-CRA81L0.SA,,,,,,,,,,,,,,
FAGR-FID010B.SA,,,,,,,,,,,,,,
FPAB11.SA,SAO,FII A BRANCACI,EQUITY,FPAB11.SA,quotes,2000300.0,Equity,Fundo de Investimento Imobiliário Projeto Água Branca,São Paulo,Real Estate,REIT—Diversified,True,,
AGPR5L.SA,,,,,,,,,,,,,,
SLCE3.SA,SAO,SLC AGRICOLAON      NM,EQUITY,SLCE3.SA,quotes,2004800.0,Equity,SLC Agrícola S.A.,São Paulo,Consumer Defensive,Farm Products,True,,
CVCB3.SA,SAO,CVC BRASIL  ON      NM,EQUITY,CVCB3.SA,quotes,2004600.0,Equity,CVC Brasil Operadora e Agência de Viagens S.A.,São Paulo,Consumer Cyclical,Travel Services,True,,
GAFL-CRA810B.SA,,,,,,,,,,,,,,
GAFL-CRA02L1.SA,,,,,,,,,,,,,,
AGBC6L.SA,,,,,,,,,,,,,,
GAFL-CRA11L1.SA,,,,,,,,,,,,,,
FAGR-FID01B0.SA,,,,,,,,,,,,,,
GAFL-CRA01B0.SA,,,,,,,,,,,,,,
DAGB33.SA,,,,,,,,,,,,,,
GAFL-CRA1DB0.SA,,,,,,,,,,,,,,
AGSA5L.SA,,,,,,,,,,,,,,
AGVE5L.SA,,,,,,,,,,,,,,
EMAE4.SA,SAO,EMAE        PN,EQUITY,EMAE4.SA,quotes,2000800.0,Equity,Empresa Metropolitana de Águas e Energia S.A.,São Paulo,Utilities,Utilities—Diversified,True,,
GAFL-CRA1DL1.SA,,,,,,,,,,,,,,
AGRU-DEB210B.SA,,,,,,,,,,,,,,
GAFL-CRA11L0.SA,,,,,,,,,,,,,,
AGVE6L.SA,,,,,,,,,,,,,,
AHEB3F.SA,SAO,SPTURIS     ON,EQUITY,AHEB3F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
AHEB6.SA,,,,,,,,,,,,,,
AHEB5.SA,,,,,,,,,,,,,,
AHEB5F.SA,SAO,SPTURIS     PNA,EQUITY,AHEB5F.SA,quotes,2000100.0,Equity,,São Paulo,,,True,,
GOLL4.SA,SAO,GOL         PN      N2,EQUITY,GOLL4.SA,quotes,2007600.0,Equity,Gol Linhas Aéreas Inteligentes S.A.,São Paulo,Industrials,Airlines,True,,
TAXA4L.SA,,,,,,,,,,,,,,
TAXA161.SA,,,,,,,,,,,,,,
TAXA17.SA,,,,,,,,,,,,,,
TAXA63.SA,,,,,,,,,,,,,,
TAXA106.SA,,,,,,,,,,,,,,
TAXA345.SA,,,,,,,,,,,,,,
TAXA129.SA,,,,,,,,,,,,,,
TAXA303.SA,,,,,,,,,,,,,,
TAXA310.SA,,,,,,,,,,,,,,
TAXA210.SA,,,,,,,,,,,,,,
TAXA35.SA,,,,,,,,,,,,,,
TAXA59.SA,,,,,,,,,,,,,,
TAXA19.SA,,,,,,,,,,,,,,
TAXA31L.SA,,,,,,,,,,,,,,
TAXA20L.SA,,,,,,,,,,,,,,
TAXA148.SA,,,,,,,,,,,,,,
TAXA22.SA,,,,,,,,,,,,,,
TAXA143.SA,,,,,,,,,,,,,,
TAXA302.SA,,,,,,,,,,,,,,
TAXA47.SA,,,,,,,,,,,,,,
TAXA212.SA,,,,,,,,,,,,,,
TAXA295.SA,,,,,,,,,,,,,,
TAXA74.SA,,,,,,,,,,,,,,
TAXA50.SA,,,,,,,,,,,,,,
TAXA165.SA,,,,,,,,,,,,,,
TAXA58L.SA,,,,,,,,,,,,,,
TAXA260.SA,,,,,,,,,,,,,,
TAXA32.SA,,,,,,,,,,,,,,
TAXA123.SA,,,,,,,,,,,,,,
TAXA69.SA,,,,,,,,,,,,,,
TAXA265.SA,,,,,,,,,,,,,,
TAXA41.SA,,,,,,,,,,,,,,
TAXA362.SA,,,,,,,,,,,,,,
TAXA109.SA,,,,,,,,,,,,,,
TAXA232.SA,,,,,,,,,,,,,,
TAXA242.SA,,,,,,,,,,,,,,
TAXA319.SA,,,,,,,,,,,,,,
TAXA262.SA,,,,,,,,,,,,,,
TAXA113.SA,,,,,,,,,,,,,,
TAXA170.SA,,,,,,,,,,,,,,
TAXA85.SA,,,,,,,,,,,,,,
TAXA256.SA,,,,,,,,,,,,,,
TAXA193.SA,,,,,,,,,,,,,,
TAXA104.SA,,,,,,,,,,,,,,
TAXA21L.SA,,,,,,,,,,,,,,
TAXA86.SA,,,,,,,,,,,,,,
TAXA86L.SA,,,,,,,,,,,,,,
TAXA42.SA,,,,,,,,,,,,,,
TAXA361.SA,,,,,,,,,,,,,,
TAXA246.SA,,,,,,,,,,,,,,
